X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
1538,2329,  1.3800,211.2311,87.33749999999999
1539,2331,  1.3874,211.2302,87.4125
1540,2332,  1.3953,211.2292,87.45
1541,2333,  1.4032,211.2283,87.4875
1542,2334,  1.4106,211.2274,87.52499999999999
1543,2335,  1.4185,211.2264,87.5625
1544,2335,  1.4264,211.2254,87.5625
1545,2336,  1.4338,211.2245,87.6
1546,2337,  1.4417,211.2236,87.6375
1547,2338,  1.4497,211.2226,87.675
1548,2339,  1.4576,211.2216,87.71249999999999
1549,2339,  1.4649,211.2207,87.71249999999999
1550,2340,  1.4729,211.2198,87.75
1551,2340,  1.4808,211.2188,87.75
1552,2341,  1.4881,211.2179,87.7875
1553,2342,  1.4961,211.2169,87.825
1554,2342,  1.5040,211.2160,87.825
1555,2343,  1.5113,211.2151,87.8625
1556,2343,  1.5193,211.2141,87.8625
1557,2345,  1.5272,211.2131,87.9375
1558,2346,  1.5351,211.2122,87.975
1559,2347,  1.5425,211.2113,88.0125
1560,2347,  1.5504,211.2103,88.0125
1561,2348,  1.5583,211.2093,88.05
1562,2349,  1.5657,211.2084,88.08749999999999
1563,2350,  1.5736,211.2075,88.125
1564,2351,  1.5815,211.2065,88.1625
1565,2352,  1.5889,211.2056,88.2
1566,2352,  1.5968,211.2046,88.2
1567,2353,  1.6048,211.2037,88.2375
1568,2353,  1.6127,211.2027,88.2375
1569,2354,  1.6200,211.2018,88.27499999999999
1570,2355,  1.6280,211.2008,88.3125
1571,2355,  1.6359,211.1999,88.3125
1572,2356,  1.6432,211.1990,88.35
1573,2356,  1.6512,211.1980,88.35
1574,2357,  1.6591,211.1970,88.3875
1575,2358,  1.6664,211.1961,88.425
1576,2358,  1.6744,211.1952,88.425
1577,2359,  1.6823,211.1942,88.46249999999999
1578,2360,  1.6902,211.1932,88.5
1579,2360,  1.6976,211.1923,88.5
1580,2361,  1.7055,211.1914,88.5375
1581,2361,  1.7134,211.1904,88.5375
1582,2362,  1.7208,211.1895,88.575
1583,2362,  1.7287,211.1885,88.575
1584,2363,  1.7366,211.1876,88.6125
1585,2363,  1.7440,211.1867,88.6125
1586,2364,  1.7519,211.1857,88.64999999999999
1587,2364,  1.7599,211.1847,88.64999999999999
1588,2365,  1.7678,211.1838,88.6875
1589,2365,  1.7751,211.1829,88.6875
1590,2366,  1.7831,211.1819,88.725
1591,2366,  1.7910,211.1809,88.725
1592,2367,  1.7983,211.1800,88.7625
1593,2367,  1.8063,211.1791,88.7625
1594,2368,  1.8142,211.1781,88.8
1595,2368,  1.8221,211.1771,88.8
1596,2369,  1.8295,211.1762,88.83749999999999
1597,2369,  1.8374,211.1753,88.83749999999999
1598,2370,  1.8453,211.1743,88.875
1599,2370,  1.8527,211.1734,88.875
1600,2370,  1.8606,211.1724,88.875
1601,2371,  1.8685,211.1715,88.9125
1602,2371,  1.8759,211.1706,88.9125
1603,2372,  1.8838,211.1696,88.95
1604,2372,  1.8917,211.1686,88.95
1605,2373,  1.8997,211.1677,88.9875
1606,2373,  1.9070,211.1668,88.9875
1607,2374,  1.9149,211.1658,89.02499999999999
1608,2374,  1.9229,211.1648,89.02499999999999
1609,2374,  1.9302,211.1639,89.02499999999999
1610,2375,  1.9381,211.1630,89.0625
1611,2375,  1.9461,211.1620,89.0625
1612,2375,  1.9534,211.1611,89.0625
1613,2375,  1.9613,211.1601,89.0625
1614,2374,  1.9693,211.1592,89.02499999999999
1735,2397,  2.9076,211.0446,89.8875
1736,2398,  2.9155,211.0436,89.925
1737,2398,  2.9228,211.0427,89.925
1738,2398,  2.9307,211.0418,89.925
1739,2398,  2.9387,211.0408,89.925
1740,2398,  2.9466,211.0398,89.925
1741,2398,  2.9539,211.0389,89.925
1742,2399,  2.9619,211.0380,89.96249999999999
1743,2399,  2.9698,211.0370,89.96249999999999
1744,2399,  2.9771,211.0361,89.96249999999999
1745,2399,  2.9851,211.0351,89.96249999999999
1746,2399,  2.9930,211.0341,89.96249999999999
